Title,Date,Gross
"Men, Women & Children",10/1/14,705908
Blended,5/23/14,46294610
Grown Ups 2,7/12/13,133668525
Hotel Transylvania(Voice),9/28/12,148313048
That's My Boy,6/15/12,36931089
Jack and Jill,11/11/11,74158157
Zookeeper(Voice),7/8/11,80360843
Just Go With It,2/11/11,103028109
Grown Ups,6/25/10,162001186
Funny People,7/31/09,51855045
Bedtime Stories,12/25/08,110101975
You Don't Mess with the Zohan,6/6/08,100018837
I Now Pronounce You Chuck and Larry,7/20/07,120059556
Reign Over Me,3/23/07,19661987
Click,6/23/06,137355633
Deuce Bigalow: European Gigolo(Cameo),8/12/05,22400154
The Longest Yard,5/27/05,158119460
Spanglish,12/17/04,42726869
50 First Dates,2/13/04,120908074
Anger Management,4/11/03,135645823
The Hot Chick,12/13/02,35081594
Eight Crazy Nights(Voice),11/27/02,23586598
Punch-Drunk Love,10/11/02,17844216
Mr. Deeds,6/28/02,126293452
The Animal,6/1/01,57743062
Little Nicky,11/10/00,39464775
Big Daddy,6/25/99,163479795
The Waterboy,11/6/98,161491646
Dirty Work,6/12/98,10023282
The Wedding Singer,2/13/98,80245725
Bulletproof,9/6/96,21576954
Happy Gilmore,2/16/96,38824099
Billy Madison,2/10/95,25588734
Mixed Nuts,12/21/94,6821850
Airheads,8/5/94,5751882
Coneheads,7/23/93,21274717
Shakes the Clown,3/13/92,115103
